"custom_step","true-sea-198 - _step","true-sea-198 - _step__MIN","true-sea-198 - _step__MAX","true-sea-198 - train_metrics/Neutrality","true-sea-198 - train_metrics/Neutrality__MIN","true-sea-198 - train_metrics/Neutrality__MAX"
"1000000","0","0","0","0.5055559458027578","0.5055559458027578","0.5055559458027578"
"2000000","1","1","1","0.4788237539449995","0.4788237539449995","0.4788237539449995"
"3000000","2","2","2","0.5419302808723451","0.5419302808723451","0.5419302808723451"
"4000000","3","3","3","0.5561162480917285","0.5561162480917285","0.5561162480917285"
"5000000","4","4","4","0.5933473665005112","0.5933473665005112","0.5933473665005112"
"6000000","5","5","5","0.6194802578733344","0.6194802578733344","0.6194802578733344"
"7000000","6","6","6","0.5811495516641548","0.5811495516641548","0.5811495516641548"
"8000000","7","7","7","0.6089899368461338","0.6089899368461338","0.6089899368461338"
"9000000","8","8","8","0.6800564661197495","0.6800564661197495","0.6800564661197495"
"10000000","9","9","9","0.6454871347175488","0.6454871347175488","0.6454871347175488"
"11000000","10","10","10","0.6726165537277822","0.6726165537277822","0.6726165537277822"
"12000000","11","11","11","0.645726706440764","0.645726706440764","0.645726706440764"
"13000000","12","12","12","0.6545154227487588","0.6545154227487588","0.6545154227487588"
"14000000","13","13","13","0.6604625492529885","0.6604625492529885","0.6604625492529885"
"15000000","14","14","14","0.6326237471770267","0.6326237471770267","0.6326237471770267"
"16000000","15","15","15","0.6484791744305678","0.6484791744305678","0.6484791744305678"
"17000000","16","16","16","0.6515609448822934","0.6515609448822934","0.6515609448822934"
"18000000","17","17","17","0.6898730651172347","0.6898730651172347","0.6898730651172347"
"19000000","18","18","18","0.7055291372809459","0.7055291372809459","0.7055291372809459"
"20000000","19","19","19","0.6809660516703312","0.6809660516703312","0.6809660516703312"
"21000000","20","20","20","0.6763902745180038","0.6763902745180038","0.6763902745180038"
"22000000","21","21","21","0.6975945460359033","0.6975945460359033","0.6975945460359033"
"23000000","22","22","22","0.7099607024552453","0.7099607024552453","0.7099607024552453"
"24000000","23","23","23","0.7291157276690476","0.7291157276690476","0.7291157276690476"
"25000000","24","24","24","0.6706482568832","0.6706482568832","0.6706482568832"
"26000000","25","25","25","0.7359435620637127","0.7359435620637127","0.7359435620637127"
"27000000","26","26","26","0.7257854765230128","0.7257854765230128","0.7257854765230128"
"28000000","27","27","27","0.7160291716412918","0.7160291716412918","0.7160291716412918"
"29000000","28","28","28","0.7520888857624393","0.7520888857624393","0.7520888857624393"
"30000000","29","29","29","0.753848436828428","0.753848436828428","0.753848436828428"
"31000000","30","30","30","0.7498518063286531","0.7498518063286531","0.7498518063286531"
"32000000","31","31","31","0.7363977239178742","0.7363977239178742","0.7363977239178742"
"33000000","32","32","32","0.7281618170971623","0.7281618170971623","0.7281618170971623"
"34000000","33","33","33","0.7502908011947558","0.7502908011947558","0.7502908011947558"
"35000000","34","34","34","0.7316126338663037","0.7316126338663037","0.7316126338663037"
"36000000","35","35","35","0.7536702476474244","0.7536702476474244","0.7536702476474244"
"37000000","36","36","36","0.7663349627577716","0.7663349627577716","0.7663349627577716"
"38000000","37","37","37","0.7610601475203738","0.7610601475203738","0.7610601475203738"
"39000000","38","38","38","0.8020535499912499","0.8020535499912499","0.8020535499912499"
"40000000","39","39","39","0.8029293798182496","0.8029293798182496","0.8029293798182496"
"41000000","40","40","40","0.7727494966021553","0.7727494966021553","0.7727494966021553"
"42000000","41","41","41","0.7777769009848556","0.7777769009848556","0.7777769009848556"
"43000000","42","42","42","0.8097832811111139","0.8097832811111139","0.8097832811111139"
"44000000","43","43","43","0.7771022984748278","0.7771022984748278","0.7771022984748278"
"45000000","44","44","44","0.7898956448978549","0.7898956448978549","0.7898956448978549"
"46000000","45","45","45","0.7737314867949668","0.7737314867949668","0.7737314867949668"
"47000000","46","46","46","0.7967390486592785","0.7967390486592785","0.7967390486592785"
"48000000","47","47","47","0.8120388380970033","0.8120388380970033","0.8120388380970033"
"49000000","48","48","48","0.7962165035435443","0.7962165035435443","0.7962165035435443"
"50000000","49","49","49","0.7874949844175239","0.7874949844175239","0.7874949844175239"
"51000000","50","50","50","0.7911277209341004","0.7911277209341004","0.7911277209341004"
"52000000","51","51","51","0.814382637727241","0.814382637727241","0.814382637727241"
"53000000","52","52","52","0.7867178468231562","0.7867178468231562","0.7867178468231562"
"54000000","53","53","53","0.7859883742938442","0.7859883742938442","0.7859883742938442"
"55000000","54","54","54","0.827001349990108","0.827001349990108","0.827001349990108"
"56000000","55","55","55","0.8093875037030357","0.8093875037030357","0.8093875037030357"
"57000000","56","56","56","0.8264268054680001","0.8264268054680001","0.8264268054680001"
"58000000","57","57","57","0.8170819431864978","0.8170819431864978","0.8170819431864978"
"59000000","58","58","58","0.7738318739142864","0.7738318739142864","0.7738318739142864"
"60000000","59","59","59","0.8086512647922618","0.8086512647922618","0.8086512647922618"
"61000000","60","60","60","0.8152508729228483","0.8152508729228483","0.8152508729228483"
"62000000","61","61","61","0.8014345285745393","0.8014345285745393","0.8014345285745393"
"63000000","62","62","62","0.8145964054131818","0.8145964054131818","0.8145964054131818"
"64000000","63","63","63","0.8113021972660163","0.8113021972660163","0.8113021972660163"
"65000000","64","64","64","0.8218338040027124","0.8218338040027124","0.8218338040027124"
"66000000","65","65","65","0.8117791691695527","0.8117791691695527","0.8117791691695527"
"67000000","66","66","66","0.8151811916899244","0.8151811916899244","0.8151811916899244"
"68000000","67","67","67","0.8140696467188189","0.8140696467188189","0.8140696467188189"
"69000000","68","68","68","0.8211453173768789","0.8211453173768789","0.8211453173768789"
"70000000","69","69","69","0.8094929341251762","0.8094929341251762","0.8094929341251762"
"71000000","70","70","70","0.8065434872983477","0.8065434872983477","0.8065434872983477"
"72000000","71","71","71","0.8099601137416416","0.8099601137416416","0.8099601137416416"
"73000000","72","72","72","0.8352172239961049","0.8352172239961049","0.8352172239961049"
"74000000","73","73","73","0.833113443358098","0.833113443358098","0.833113443358098"
"75000000","74","74","74","0.8233627630985162","0.8233627630985162","0.8233627630985162"
"76000000","75","75","75","0.8225705278311959","0.8225705278311959","0.8225705278311959"
"77000000","76","76","76","0.8083516627603664","0.8083516627603664","0.8083516627603664"
"78000000","77","77","77","0.8432225152710354","0.8432225152710354","0.8432225152710354"
"79000000","78","78","78","0.8123438815533623","0.8123438815533623","0.8123438815533623"
"80000000","79","79","79","0.8378176812781664","0.8378176812781664","0.8378176812781664"
"81000000","80","80","80","0.8421568187828002","0.8421568187828002","0.8421568187828002"
